id,username,email,profile,role,socialType,socialId
1,lweaver,scottchurch@yahoo.com,rmoore,USER,GOOGLE,f386dd57-7f64-4421-9dbf-7454a88ba4d5
2,megansmith,derekwhitaker@higgins-steele.com,bryan54,USER,GOOGLE,1d83c291-711c-4832-abb7-64faee882930
3,brianflores,tlewis@gmail.com,hayesjudith,USER,GOOGLE,9a7ddae8-d9d6-4569-bc5b-b813509cf70c
4,smithrobert,rcompton@gmail.com,caleb13,USER,GOOGLE,fc03f4d6-fccb-434a-b036-c181aec6e795
5,seankelly,harrisonlisa@bird-lucas.biz,caleblopez,USER,GOOGLE,293fe998-8c5e-4ec4-9ec3-74b32fbea8ca
6,uhogan,hallkimberly@yahoo.com,michaellopez,USER,GOOGLE,1d0e3434-2212-47fa-b802-e7c53634c8b2
7,willieguzman,jonathansmith@yahoo.com,ligilbert,USER,GOOGLE,585272b2-5276-4ae4-8b06-e959d0622cc9
8,pfitzgerald,preyes@yahoo.com,garrett79,USER,GOOGLE,125d6342-f82d-42d4-925f-0a0e62654902
9,susan17,cory08@gmail.com,diana87,USER,GOOGLE,4643b8f2-9489-4202-b517-e72e7fe47fb1
10,bonillajennifer,jessica97@hotmail.com,gabriel70,USER,GOOGLE,9b2ca7d6-c6f1-40fb-ad38-f9a908e90bc1
11,cgonzalez,amandagrimes@hotmail.com,johngray,USER,GOOGLE,9562fc93-0ad1-47ab-90bb-e8020e73bddb
12,david64,anorton@allen.com,andreawilliams,USER,GOOGLE,d78e5708-8e68-42a3-80ca-9a98e1f578ea
13,joel19,castillolauren@yahoo.com,susan28,USER,GOOGLE,fdf1b159-1010-4d09-b471-fef5315d7238
14,patriciajones,joseph22@gmail.com,dsmith,USER,GOOGLE,dae2d32f-7ef3-4913-be8e-798910d39e9e
15,andrew12,patricia88@logan-mitchell.com,alexander79,USER,GOOGLE,808c3ea8-5747-4c21-bc1f-4d8594bab770
16,shanebrewer,daniel67@jackson-mcbride.com,haustin,USER,GOOGLE,38b0d388-e7d7-4465-b492-d0acf0308a84
17,mclark,bjames@hotmail.com,ostewart,USER,GOOGLE,f652d48b-8476-40a2-9b3f-77c032414fee
18,perrytroy,andreahall@nguyen.info,anthonykelly,USER,GOOGLE,7caf6893-ccfe-4cde-8326-ac491d102d84
19,bjackson,jill29@hotmail.com,annmccall,USER,GOOGLE,3789324c-cdc1-498c-b007-29def43675be
20,edwin87,parkersmith@yahoo.com,leonardcody,USER,GOOGLE,708c1f32-3a81-4ffc-a91c-ab47acbcafb9
